oid,description
.1.3.6.1.2.1.2.2.1.4.1,The size of the largest packet which can be sentreceived on the interface specified in octets For interfaces that are used for transmitting network datagrams this is the size of the largest network datagram that can be sent on the interface
.1.3.6.1.2.1.2.2.1.4.2,The size of the largest packet which can be sentreceived on the interface specified in octets For interfaces that are used for transmitting network datagrams this is the size of the largest network datagram that can be sent on the interface
.1.3.6.1.2.1.2.2.1.5.1,An estimate of the interfaces current bandwidth in bits per second For interfaces which do not vary in bandwidth or for those where no accurate estimation can be made this object should contain the nominal bandwidth If the bandwidth of the interface is greater than the maximum value reportable by this object then this object should report its maximum value 4294967295 and ifHighSpeed must be used to report the interaces speed For a sublayer which has no concept of bandwidth this object should be zero
.1.3.6.1.2.1.2.2.1.5.2,An estimate of the interfaces current bandwidth in bits per second For interfaces which do not vary in bandwidth or for those where no accurate estimation can be made this object should contain the nominal bandwidth If the bandwidth of the interface is greater than the maximum value reportable by this object then this object should report its maximum value 4294967295 and ifHighSpeed must be used to report the interaces speed For a sublayer which has no concept of bandwidth this object should be zero
.1.3.6.1.2.1.2.2.1.6.1,The interfaces address at its protocol sublayer For example for an 802x interface this object normally contains a MAC address The interfaces mediaspecific MIB must define the bit and byte ordering and the format of the value of this object For interfaces which do not have such an address eg a serial line this object should contain an octet string of zero length
.1.3.6.1.2.1.2.2.1.6.2,The interfaces address at its protocol sublayer For example for an 802x interface this object normally contains a MAC address The interfaces mediaspecific MIB must define the bit and byte ordering and the format of the value of this object For interfaces which do not have such an address eg a serial line this object should contain an octet string of zero length
.1.3.6.1.2.1.2.2.1.7.1,The desired state of the interface The testing3 state indicates that no operational packets can be passed When a managed system initializes all interfaces start with ifAdminStatus in the down2 state As a result of either explicit management action or per configuration information retained by the managed system ifAdminStatus is then changed to either the up1 or testing3 states or remains in the down2 state
.1.3.6.1.2.1.2.2.1.7.2,The desired state of the interface The testing3 state indicates that no operational packets can be passed When a managed system initializes all interfaces start with ifAdminStatus in the down2 state As a result of either explicit management action or per configuration information retained by the managed system ifAdminStatus is then changed to either the up1 or testing3 states or remains in the down2 state
.1.3.6.1.2.1.2.2.1.8.1,The current operational state of the interface The testing3 state indicates that no operational packets can be passed If ifAdminStatus is down2 then ifOperStatus should be down2 If ifAdminStatus is changed to up1 then ifOperStatus should change to up1 if the interface is ready to transmit and receive network traffic it should change to dormant5 if the interface is waiting for external actions such as a serial line waiting for an incoming connection it should remain in the down2 state if and only if there is a fault that prevents it from going to the up1 state it should remain in the notPresent6 state if the interface has missing typically hardware components
.1.3.6.1.2.1.2.2.1.8.2,The current operational state of the interface The testing3 state indicates that no operational packets can be passed If ifAdminStatus is down2 then ifOperStatus should be down2 If ifAdminStatus is changed to up1 then ifOperStatus should change to up1 if the interface is ready to transmit and receive network traffic it should change to dormant5 if the interface is waiting for external actions such as a serial line waiting for an incoming connection it should remain in the down2 state if and only if there is a fault that prevents it from going to the up1 state it should remain in the notPresent6 state if the interface has missing typically hardware components
.1.3.6.1.2.1.2.2.1.9.1,The value of sysUpTime at the time the interface entered its current operational state If the current state was entered prior to the last reinitialization of the local network management subsystem then this object contains a zero value
.1.3.6.1.2.1.2.2.1.9.2,The value of sysUpTime at the time the interface entered its current operational state If the current state was entered prior to the last reinitialization of the local network management subsystem then this object contains a zero value
.1.3.6.1.2.1.2.2.1.10.1,The total number of octets received on the interface including framing characters Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.10.2,The total number of octets received on the interface including framing characters Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.11.1,The number of packets delivered by this sublayer to a higher sublayer which were not addressed to a multicast or broadcast address at this sublayer Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.11.2,The number of packets delivered by this sublayer to a higher sublayer which were not addressed to a multicast or broadcast address at this sublayer Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.12.1,The number of packets delivered by this sublayer to a higher sublayer which were addressed to a multicast or broadcast address at this sublayer Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime This object is deprecated in favour of ifInMulticastPkts and ifInBroadcastPkts
.1.3.6.1.2.1.2.2.1.12.2,The number of packets delivered by this sublayer to a higher sublayer which were addressed to a multicast or broadcast address at this sublayer Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime This object is deprecated in favour of ifInMulticastPkts and ifInBroadcastPkts
.1.3.6.1.2.1.2.2.1.13.1,The number of inbound packets which were chosen to be discarded even though no errors had been detected to prevent their being deliverable to a higherlayer protocol One possible reason for discarding such a packet could be to free up buffer space Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.13.2,The number of inbound packets which were chosen to be discarded even though no errors had been detected to prevent their being deliverable to a higherlayer protocol One possible reason for discarding such a packet could be to free up buffer space Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.14.1,For packetoriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higherlayer protocol For character oriented or fixedlength interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higherlayer protocol Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.14.2,For packetoriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higherlayer protocol For character oriented or fixedlength interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higherlayer protocol Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.15.1,For packetoriented interfaces the number of packets received via the interface which were discarded because of an unknown or unsupported protocol For characteroriented or fixedlength interfaces that support protocol multiplexing the number of transmission units received via the interface which were discarded because of an unknown or unsupported protocol For any interface that does not support protocol multiplexing this counter will always be 0 Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.15.2,For packetoriented interfaces the number of packets received via the interface which were discarded because of an unknown or unsupported protocol For characteroriented or fixedlength interfaces that support protocol multiplexing the number of transmission units received via the interface which were discarded because of an unknown or unsupported protocol For any interface that does not support protocol multiplexing this counter will always be 0 Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.16.1,The total number of octets transmitted out of the interface including framing characters Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.16.2,The total number of octets transmitted out of the interface including framing characters Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.17.1,The total number of packets that higherlevel protocols requested be transmitted and which were not addressed to a multicast or broadcast address at this sublayer including those that were discarded or not sent Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.17.2,The total number of packets that higherlevel protocols requested be transmitted and which were not addressed to a multicast or broadcast address at this sublayer including those that were discarded or not sent Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.18.1,The total number of packets that higherlevel protocols requested be transmitted and which were addressed to a multicast or broadcast address at this sublayer including those that were discarded or not sent Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime This object is deprecated in favour of ifOutMulticastPkts and ifOutBroadcastPkts
.1.3.6.1.2.1.2.2.1.18.2,The total number of packets that higherlevel protocols requested be transmitted and which were addressed to a multicast or broadcast address at this sublayer including those that were discarded or not sent Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime This object is deprecated in favour of ifOutMulticastPkts and ifOutBroadcastPkts
.1.3.6.1.2.1.2.2.1.19.1,The number of outbound packets which were chosen to be discarded even though no errors had been detected to prevent their being transmitted One possible reason for discarding such a packet could be to free up buffer space Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.19.2,The number of outbound packets which were chosen to be discarded even though no errors had been detected to prevent their being transmitted One possible reason for discarding such a packet could be to free up buffer space Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.20.1,For packetoriented interfaces the number of outbound packets that could not be transmitted because of errors For characteroriented or fixedlength interfaces the number of outbound transmission units that could not be transmitted because of errors Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.20.2,For packetoriented interfaces the number of outbound packets that could not be transmitted because of errors For characteroriented or fixedlength interfaces the number of outbound transmission units that could not be transmitted because of errors Discontinuities in the value of this counter can occur at reinitialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime
.1.3.6.1.2.1.2.2.1.21.1,The length of the output packet queue in packets
.1.3.6.1.2.1.2.2.1.21.2,The length of the output packet queue in packets
.1.3.6.1.2.1.2.2.1.22.1,A reference to MIB definitions specific to the particular media being used to realize the interface It is recommended that this value point to an instance of a MIB object in the mediaspecific MIB ie that this object have the semantics associated with the InstancePointer textual convention defined in RFC 2579 In fact it is recommended that the mediaspecific MIB specify what value ifSpecific shouldcan take for values of ifType If no MIB definitions specific to the particular media are available the value should be set to the OBJECT IDENTIFIER 0 0
.1.3.6.1.2.1.2.2.1.22.2,A reference to MIB definitions specific to the particular media being used to realize the interface It is recommended that this value point to an instance of a MIB object in the mediaspecific MIB ie that this object have the semantics associated with the InstancePointer textual convention defined in RFC 2579 In fact it is recommended that the mediaspecific MIB specify what value ifSpecific shouldcan take for values of ifType If no MIB definitions specific to the particular media are available the value should be set to the OBJECT IDENTIFIER 0 0
.1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.1,The interface on which this entrys equivalence is effective The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.150,The interface on which this entrys equivalence is effective The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.170,The interface on which this entrys equivalence is effective The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.1,The mediadependent physical address Setting this object to a null string one of zero length has the effect of invaliding the corresponding entry in the atTable object That is it effectively dissasociates the interface identified with said entry from the mapping identified with said entry It is an implementationspecific matter as to whether the agent removes an invalidated entry from the table Accordingly management stations must be prepared to receive tabular information from agents that corresponds to entries not currently in use Proper interpretation of such entries requires examination of the relevant atPhysAddress object
.1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.150,The mediadependent physical address Setting this object to a null string one of zero length has the effect of invaliding the corresponding entry in the atTable object That is it effectively dissasociates the interface identified with said entry from the mapping identified with said entry It is an implementationspecific matter as to whether the agent removes an invalidated entry from the table Accordingly management stations must be prepared to receive tabular information from agents that corresponds to entries not currently in use Proper interpretation of such entries requires examination of the relevant atPhysAddress object
.1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.170,The mediadependent physical address Setting this object to a null string one of zero length has the effect of invaliding the corresponding entry in the atTable object That is it effectively dissasociates the interface identified with said entry from the mapping identified with said entry It is an implementationspecific matter as to whether the agent removes an invalidated entry from the table Accordingly management stations must be prepared to receive tabular information from agents that corresponds to entries not currently in use Proper interpretation of such entries requires examination of the relevant atPhysAddress object
.1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.1,The NetworkAddress eg the IP address corresponding to the mediadependent physical address
.1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.150,The NetworkAddress eg the IP address corresponding to the mediadependent physical address
.1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.170,The NetworkAddress eg the IP address corresponding to the mediadependent physical address
.1.3.6.1.2.1.4.1.0,The indication of whether this entity is acting as an IP gateway in respect to the forwarding of datagrams received by but not addressed to this entity IP gateways forward datagrams IP hosts do not except those sourcerouted via the host Note that for some managed nodes this object may take on only a subset of the values possible Accordingly it is appropriate for an agent to return a badValue response if a management station attempts to change this object to an inappropriate value
.1.3.6.1.2.1.4.2.0,The default value inserted into the TimeToLive field of the IP header of datagrams originated at this entity whenever a TTL value is not supplied by the transport layer protocol
.1.3.6.1.2.1.4.3.0,The total number of input datagrams received from interfaces including those received in error
.1.3.6.1.2.1.4.4.0,The number of input datagrams discarded due to errors in their IP headers including bad checksums version number mismatch other format errors timetolive exceeded errors discovered in processing their IP options etc
.1.3.6.1.2.1.4.5.0,The number of input datagrams discarded because the IP address in their IP headers destination field was not a valid address to be received at this entity This count includes invalid addresses eg 0000 and addresses of unsupported Classes eg Class E For entities which are not IP Gateways and therefore do not forward datagrams this counter includes datagrams discarded because the destination address was not a local address
.1.3.6.1.2.1.4.6.0,The number of input datagrams for which this entity was not their final IP destination as a result of which an attempt was made to find a route to forward them to that final destination In entities which do not act as IP Gateways this counter will include only those packets which were SourceRouted via this entity and the Source Route option processing was successful
.1.3.6.1.2.1.4.7.0,The number of locallyaddressed datagrams received successfully but discarded because of an unknown or unsupported protocol
.1.3.6.1.2.1.4.8.0,The number of input IP datagrams for which no problems were encountered to prevent their continued processing but which were discarded eg for lack of buffer space Note that this counter does not include any datagrams discarded while awaiting reassembly
.1.3.6.1.2.1.4.9.0,The total number of input datagrams successfully delivered to IP userprotocols including ICMP
.1.3.6.1.2.1.4.10.0,The total number of IP datagrams which local IP userprotocols including ICMP supplied to IP in requests for transmission Note that this counter does not include any datagrams counted in ipForwDatagrams
.1.3.6.1.2.1.4.11.0,The number of output IP datagrams for which no problem was encountered to prevent their transmission to their destination but which were discarded eg for lack of buffer space Note that this counter would include datagrams counted in ipForwDatagrams if any such packets met this discretionary discard criterion
.1.3.6.1.2.1.4.12.0,The number of IP datagrams discarded because no route could be found to transmit them to their destination Note that this counter includes any packets counted in ipForwDatagrams which meet this noroute criterion Note that this includes any datagarms which a host cannot route because all of its default gateways are down
.1.3.6.1.2.1.4.13.0,The maximum number of seconds which received fragments are held while they are awaiting reassembly at this entity
.1.3.6.1.2.1.4.14.0,The number of IP fragments received which needed to be reassembled at this entity
.1.3.6.1.2.1.4.15.0,The number of IP datagrams successfully re assembled
.1.3.6.1.2.1.4.16.0,The number of failures detected by the IP re assembly algorithm for whatever reason timed out errors etc Note that this is not necessarily a count of discarded IP fragments since some algorithms notably the algorithm in RFC 815 can lose track of the number of fragments by combining them as they are received
.1.3.6.1.2.1.4.17.0,The number of IP datagrams that have been successfully fragmented at this entity
.1.3.6.1.2.1.4.18.0,The number of IP datagrams that have been discarded because they needed to be fragmented at this entity but could not be eg because their Dont Fragment flag was set
.1.3.6.1.2.1.4.19.0,The number of IP datagram fragments that have been generated as a result of fragmentation at this entity
.1.3.6.1.2.1.4.20.1.1.127.0.0.1,The IP address to which this entrys addressing information pertains
.1.3.6.1.2.1.4.20.1.1.192.168.1.169,The IP address to which this entrys addressing information pertains
.1.3.6.1.2.1.4.20.1.2.127.0.0.1,The index value which uniquely identifies the interface to which this entry is applicable The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.4.20.1.2.192.168.1.169,The index value which uniquely identifies the interface to which this entry is applicable The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.4.20.1.3.127.0.0.1,The subnet mask associated with the IP address of this entry The value of the mask is an IP address with all the network bits set to 1 and all the hosts bits set to 0
.1.3.6.1.2.1.4.20.1.3.192.168.1.169,The subnet mask associated with the IP address of this entry The value of the mask is an IP address with all the network bits set to 1 and all the hosts bits set to 0
.1.3.6.1.2.1.4.20.1.4.127.0.0.1,The value of the leastsignificant bit in the IP broadcast address used for sending datagrams on the logical interface associated with the IP address of this entry For example when the Internet standard allones broadcast address is used the value will be 1 This value applies to both the subnet and network broadcasts addresses used by the entity on this logical interface
.1.3.6.1.2.1.4.20.1.4.192.168.1.169,The value of the leastsignificant bit in the IP broadcast address used for sending datagrams on the logical interface associated with the IP address of this entry For example when the Internet standard allones broadcast address is used the value will be 1 This value applies to both the subnet and network broadcasts addresses used by the entity on this logical interface
.1.3.6.1.2.1.4.20.1.5.127.0.0.1,The size of the largest IP datagram which this entity can reassemble from incoming IP fragmented datagrams received on this interface
.1.3.6.1.2.1.4.20.1.5.192.168.1.169,The size of the largest IP datagram which this entity can reassemble from incoming IP fragmented datagrams received on this interface
.1.3.6.1.2.1.4.21.1.1.127.0.0.1,The destination IP address of this route An entry with a value of 0000 is considered a default route Multiple routes to a single destination can appear in the table but access to such multiple entries is dependent on the table access mechanisms defined by the network management protocol in use
.1.3.6.1.2.1.4.21.1.1.192.168.1.0,The destination IP address of this route An entry with a value of 0000 is considered a default route Multiple routes to a single destination can appear in the table but access to such multiple entries is dependent on the table access mechanisms defined by the network management protocol in use
.1.3.6.1.2.1.4.21.1.2.127.0.0.1,The index value which uniquely identifies the local interface through which the next hop of this route should be reached The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.4.21.1.2.192.168.1.0,The index value which uniquely identifies the local interface through which the next hop of this route should be reached The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex
.1.3.6.1.2.1.4.21.1.3.127.0.0.1,The primary routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.3.192.168.1.0,The primary routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.4.127.0.0.1,An alternate routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.4.192.168.1.0,An alternate routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.5.127.0.0.1,An alternate routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.5.192.168.1.0,An alternate routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.6.127.0.0.1,An alternate routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.6.192.168.1.0,An alternate routing metric for this route The semantics of this metric are determined by the routingprotocol specified in the routes ipRouteProto value If this metric is not used its value should be set to 1
.1.3.6.1.2.1.4.21.1.7.127.0.0.1,The IP address of the next hop of this route In the case of a route bound to an interface which is realized via a broadcast media the value of this field is the agents IP address on that interface
.1.3.6.1.2.1.4.21.1.7.192.168.1.0,The IP address of the next hop of this route In the case of a route bound to an interface which is realized via a broadcast media the value of this field is the agents IP address on that interface
.1.3.6.1.2.1.4.21.1.8.127.0.0.1,The type of route Note that the values direct3 and indirect4 refer to the notion of direct and indirect routing in the IP architecture Setting this object to the value invalid2 has the effect of invalidating the corresponding entry in the ipRouteTable object That is it effectively dissasociates the destination identified with said entry from the route identified with said entry It is an implementationspecific matter as to whether the agent removes an invalidated entry from the table Accordingly management stations must be prepared to receive tabular information from agents that corresponds to entries not currently in use Proper interpretation of such entries requires examination of the relevant ipRouteType object
.1.3.6.1.2.1.4.21.1.8.192.168.1.0,The type of route Note that the values direct3 and indirect4 refer to the notion of direct and indirect routing in the IP architecture Setting this object to the value invalid2 has the effect of invalidating the corresponding entry in the ipRouteTable object That is it effectively dissasociates the destination identified with said entry from the route identified with said entry It is an implementationspecific matter as to whether the agent removes an invalidated entry from the table Accordingly management stations must be prepared to receive tabular information from agents that corresponds to entries not currently in use Proper interpretation of such entries requires examination of the relevant ipRouteType object
